"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"AJ Price","https://www.nba.com/stats/player/201985/","MIN","https://www.nba.com/stats/team/1610612750/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-2","195","Connecticut","https://www.nba.com/stats/players/traditional/?College=Connecticut","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2009","https://www.nba.com/stats/players/traditional/?DraftYear=2009","2","52","28.0","1.6","0.4","0.5","0.9","0.8","7.5","21.3","46.9","27.1"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","DEN","https://www.nba.com/stats/team/1610612743/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","72.0","9.0","1.9","3.2","-2.6","2.7","6.1","20.1","51.8","23.8"
"Aaron Gray","https://www.nba.com/stats/player/201189/","SAC","https://www.nba.com/stats/team/1610612758/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","7-0","270","Pittsburgh","https://www.nba.com/stats/players/traditional/?College=Pittsburgh","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","2","49","37.0","1.8","3.0","0.6","-11.1","11.3","19.9","12.2","46.6","9.2"
"Adonis Thomas","https://www.nba.com/stats/player/203519/","PHI","https://www.nba.com/stats/team/1610612755/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-7","240","Memphis","https://www.nba.com/stats/players/traditional/?College=Memphis","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","6.0","2.3","0.5","0.5","17.2","0.0","7.9","17.6","48.5","11.5"
"Al Harrington","https://www.nba.com/stats/player/1733/","WAS","https://www.nba.com/stats/team/1610612764/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-9","245","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","25","34.0","6.6","2.4","0.8","4.7","3.2","13.8","22.5","50.6","8.9"
"Al Horford","https://www.nba.com/stats/player/201143/","ATL","https://www.nba.com/stats/team/1610612737/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-10","250","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","29.0","18.6","8.4","2.6","3.1","7.2","18.9","24.4","58.8","13.9"
"Al Jefferson","https://www.nba.com/stats/player/2744/","CHA","https://www.nba.com/stats/team/1610612766/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-10","289","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","73.0","21.8","10.8","2.1","0.5","6.3","24.7","29.3","53.2","12.2"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","NOP","https://www.nba.com/stats/team/1610612740/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-9","215","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","80.0","7.2","6.2","1.4","-5.4","6.4","18.8","14.0","51.6","8.3"
"Alan Anderson","https://www.nba.com/stats/player/101187/","BKN","https://www.nba.com/stats/team/1610612751/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-6","220","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","78.0","7.2","2.2","1.0","-1.2","2.4","7.8","15.6","52.5","7.4"
"Alec Burks","https://www.nba.com/stats/player/202692/","UTA","https://www.nba.com/stats/team/1610612762/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-6","211","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","78.0","14.0","3.3","2.7","-6.6","2.7","9.5","23.2","54.7","16.8"
"Alex Len","https://www.nba.com/stats/player/203458/","PHX","https://www.nba.com/stats/team/1610612756/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","7-1","255","Maryland","https://www.nba.com/stats/players/traditional/?College=Maryland","Ukraine","https://www.nba.com/stats/players/traditional/?Country=Ukraine","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","5","42.0","2.0","2.4","0.1","-8.2","10.6","17.1","13.4","46.9","1.7"
"Alexey Shved","https://www.nba.com/stats/player/203144/","MIN","https://www.nba.com/stats/team/1610612750/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-6","187","None","https://www.nba.com/stats/players/traditional/?College=None","Russia","https://www.nba.com/stats/players/traditional/?Country=Russia","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","63.0","4.0","1.3","1.1","-2.9","2.8","9.0","20.6","45.2","16.2"
"Alexis Ajinca","https://www.nba.com/stats/player/201582/","NOP","https://www.nba.com/stats/team/1610612740/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","7-2","248","None","https://www.nba.com/stats/players/traditional/?College=None","France","https://www.nba.com/stats/players/traditional/?Country=France","2008","https://www.nba.com/stats/players/traditional/?DraftYear=2008","1","20","56.0","5.9","4.9","0.7","-4.8","10.6","20.1","16.3","58.9","6.7"
"Allen Crabbe","https://www.nba.com/stats/player/203459/","POR","https://www.nba.com/stats/team/1610612757/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-6","210","California","https://www.nba.com/stats/players/traditional/?College=California","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","2","31","15.0","2.2","0.6","0.4","-0.5","1.0","7.7","15.4","47.5","8.8"
"Alonzo Gee","https://www.nba.com/stats/player/202087/","CLE","https://www.nba.com/stats/team/1610612739/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-6","225","Alabama","https://www.nba.com/stats/players/traditional/?College=Alabama","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","65.0","4.0","2.3","0.7","-9.7","3.3","11.0","13.2","49.1","7.1"
"Amar'e Stoudemire","https://www.nba.com/stats/player/2405/","NYK","https://www.nba.com/stats/team/1610612752/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-11","245","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2002","https://www.nba.com/stats/players/traditional/?DraftYear=2002","1","9","65.0","11.9","4.9","0.5","-6.2","8.0","15.5","23.6","59.6","4.4"
"Amir Johnson","https://www.nba.com/stats/player/101161/","TOR","https://www.nba.com/stats/team/1610612761/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-9","210","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2005","https://www.nba.com/stats/players/traditional/?DraftYear=2005","2","56","77.0","10.4","6.6","1.5","4.3","8.0","15.3","16.2","59.2","8.5"
"Anderson Varejao","https://www.nba.com/stats/player/2760/","CLE","https://www.nba.com/stats/team/1610612739/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-11","267","None","https://www.nba.com/stats/players/traditional/?College=None","Brazil","https://www.nba.com/stats/players/traditional/?Country=Brazil","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","2","30","65.0","8.4","9.7","2.2","1.7","10.0","25.3","14.5","52.7","12.2"
