"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"A.J. Lawson","https://www.nba.com/stats/player/1630639/","DAL","https://www.nba.com/stats/team/1610612742/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-6","179","South Carolina","https://www.nba.com/stats/players/traditional/?College=South%20Carolina","Canada","https://www.nba.com/stats/players/traditional/?Country=Canada","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","15.0","3.7","1.4","0.1","-20.1","4.6","15.2","18.9","58.9","3.2"
"AJ Green","https://www.nba.com/stats/player/1631260/","MIL","https://www.nba.com/stats/team/1610612749/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-5","190","Northern Iowa","https://www.nba.com/stats/players/traditional/?College=Northern%20Iowa","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","35.0","4.4","1.3","0.6","-4.9","1.6","10.5","15.9","60.7","9.2"
"AJ Griffin","https://www.nba.com/stats/player/1631100/","ATL","https://www.nba.com/stats/team/1610612737/traditional","19","https://www.nba.com/stats/players/traditional/?CF=AGE*E*19","6-6","220","Duke","https://www.nba.com/stats/players/traditional/?College=Duke","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2022","https://www.nba.com/stats/players/traditional/?DraftYear=2022","1","16","72.0","8.9","2.1","1.0","1.5","2.6","8.0","17.4","57.7","7.0"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","DEN","https://www.nba.com/stats/team/1610612743/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-8","235","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","68.0","16.3","6.6","3.0","12.1","8.6","13.6","20.6","61.7","12.9"
"Aaron Holiday","https://www.nba.com/stats/player/1628988/","ATL","https://www.nba.com/stats/team/1610612737/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-0","185","UCLA","https://www.nba.com/stats/players/traditional/?College=UCLA","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","1","23","63.0","3.9","1.2","1.4","0.9","2.8","5.9","12.9","52.8","13.5"
"Aaron Nesmith","https://www.nba.com/stats/player/1630174/","IND","https://www.nba.com/stats/team/1610612754/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-5","215","Vanderbilt","https://www.nba.com/stats/players/traditional/?College=Vanderbilt","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","14","73.0","10.1","3.8","1.3","-4.7","3.3","11.9","16.8","56.6","7.3"
"Aaron Wiggins","https://www.nba.com/stats/player/1630598/","OKC","https://www.nba.com/stats/team/1610612760/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-5","190","Maryland","https://www.nba.com/stats/players/traditional/?College=Maryland","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2021","https://www.nba.com/stats/players/traditional/?DraftYear=2021","2","55","70.0","6.8","3.0","1.1","1.5","5.0","10.9","14.3","60.7","8.4"
"Admiral Schofield","https://www.nba.com/stats/player/1629678/","ORL","https://www.nba.com/stats/team/1610612753/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-5","241","Tennessee","https://www.nba.com/stats/players/traditional/?College=Tennessee","United Kingdom","https://www.nba.com/stats/players/traditional/?Country=United%20Kingdom","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","2","42","37.0","4.2","1.7","0.8","-8.3","4.7","9.2","13.9","58.7","10.3"
"Al Horford","https://www.nba.com/stats/player/201143/","BOS","https://www.nba.com/stats/team/1610612738/traditional","37","https://www.nba.com/stats/players/traditional/?CF=AGE*E*37","6-9","240","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","63.0","9.8","6.2","3.0","7.8","3.9","15.9","11.9","63.1","12.8"
"Alec Burks","https://www.nba.com/stats/player/202692/","DET","https://www.nba.com/stats/team/1610612765/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-6","214","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","51.0","12.8","3.1","2.2","-1.0","1.7","12.4","21.8","60.2","15.0"
