,,,,,,Per Game,,,,,,Shooting,,,Advanced,
Year,Player,Team,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2024,Caitlin Clark,1st,(V),IND,40,35.4,19.2,5.7,8.4,1.3,0.7,0.417,0.344,0.906,3,0.103
2024,Napheesa Collier,1st,(V),MIN,34,34.7,20.4,9.7,3.4,1.9,1.4,0.492,0.31,0.804,7.4,0.3
2024,Breanna Stewart,1st,(V),NYL,38,32.7,20.4,8.5,3.5,1.7,1.3,0.458,0.295,0.845,8.7,0.338
2024,Alyssa Thomas,1st,(V),CON,40,32.4,10.6,8.4,7.9,1.6,0.5,0.509,0,0.628,5.5,0.204
2024,A'ja Wilson,1st,(V),LVA,38,34.4,26.9,11.9,2.3,1.8,2.6,0.518,0.317,0.844,10.9,0.399
2024,Kahleah Copper,2nd,(V),PHO,37,32.4,21.1,4.5,2.3,0.8,0.1,0.435,0.314,0.807,1.1,0.044
2024,Sabrina Ionescu,2nd,(V),NYL,38,32.1,18.2,4.4,6.2,1,0.3,0.394,0.333,0.898,4.9,0.192
2024,Jonquel Jones,2nd,(V),NYL,39,29.8,14.2,9,3.2,0.8,1.3,0.538,0.388,0.788,6.5,0.268
2024,Arike Ogunbowale,2nd,(V),DAL,38,38.6,22.2,4.6,5.1,2.1,0.3,0.383,0.346,0.921,3.3,0.107
2024,Nneka Ogwumike,2nd,(V),SEA,37,31.8,16.7,7.6,2.3,1.9,0.5,0.511,0.405,0.876,6.4,0.261
2023,Napheesa Collier,1st,(V),MIN,37,33.5,21.5,8.5,2.5,1.6,1.2,0.485,0.298,0.84,5.2,0.203
2023,Satou Sabally,1st,(V),DAL,38,33.1,18.6,8.1,4.4,1.8,0.4,0.435,0.361,0.874,5.9,0.224
2023,Breanna Stewart,1st,(V),NYL,40,34.1,23,9.3,3.8,1.5,1.6,0.465,0.355,0.851,10.3,0.362
2023,Alyssa Thomas,1st,(V),CON,40,36.2,15.5,9.9,7.9,1.8,0.5,0.474,0,0.715,6.1,0.203
2023,A'ja Wilson,1st,(V),LVA,40,30.7,22.8,9.5,1.6,1.4,2.2,0.557,0.31,0.812,10.4,0.405
2023,Chelsea Gray,2nd,(V),LVA,40,32.2,15.3,4,7.3,1.4,0.6,0.49,0.421,0.897,7,0.259
2023,Sabrina Ionescu,2nd,(V),NYL,36,31.5,17,5.6,5.4,1,0.3,0.423,0.448,0.872,5.6,0.236
2023,Jewell Loyd,2nd,(V),SEA,38,35.4,24.7,4.7,3.4,1,0.4,0.37,0.356,0.888,3.4,0.123
