player-name,team,age,height,weight,school,country,GP,PTS,REB,AST,NETRTG,OREB%,DREB,USG%,TS%,AST%
A'ja Wilson,LVA,28,6-4,195,South Carolina,USA,38,26.9,11.9,2.3,6.3,6.2%,27.0%,31.0%,59.1%,14.0%
Aaliyah Edwards,WAS,22,6-3,-,Connecticut,Canada,34,7.6,5.6,1.4,-7.4,6.6%,20.5%,17.5%,52.6%,11.3%
Aari McDonald,LAS,26,5-6,141,Arizona,USA,26,8.7,2.0,3.7,-5.8,2.2%,7.4%,20.2%,52.9%,29.5%
Aerial Powers,ATL,31,5-11,170,Michigan State,USA,17,8.6,3.3,1.4,-9.4,4.6%,13.1%,24.0%,46.5%,16.1%
Alanna Smith,MIN,28,6-4,183,Stanford,Australia,39,10.1,5.6,3.2,12.5,6.2%,14.3%,18.2%,57.5%,19.5%
Alissa Pili,MIN,23,6-2,235,Utah,USA,22,2.4,1.2,0.2,-13.3,4.6%,16.4%,21.1%,53.2%,6.8%
Aliyah Boston,IND,23,6-5,220,South Carolina,USA,40,14.0,8.9,3.2,-1.8,9.2%,19.1%,19.9%,56.6%,16.9%
Allisha Gray,ATL,30,6-0,167,South Carolina,USA,40,15.6,4.4,2.7,-1.1,3.2%,9.9%,21.4%,52.6%,14.7%
Alysha Clark,LVA,37,5-11,167,Middle Tennessee,USA,40,6.0,3.6,1.8,8.8,2.2%,12.1%,11.9%,58.7%,10.6%
Alyssa Thomas,CON,32,6-2,203,Maryland,USA,40,10.6,8.4,7.9,7.3,7.7%,20.5%,18.2%,54.3%,40.3%
Amy Atwell,PHO,26,6-0,165,Hawaii,Australia,6,2.5,1.0,1.0,-25.7,5.7%,3.8%,14.3%,43.6%,17.6%
Angel Reese,CHI,22,6-3,165,Louisiana State,USA,34,13.6,13.1,1.9,0.8,14.4%,25.1%,21.5%,46.4%,9.2%
Ariel Atkins,WAS,28,5-10,167,Texas-Austin,USA,40,14.9,3.4,3.1,-3.3,3.0%,8.7%,22.8%,55.2%,19.1%
Arike Ogunbowale,DAL,27,5-8,165,Notre Dame,USA,38,22.2,4.6,5.1,-8.1,1.9%,10.2%,25.9%,52.0%,22.1%
Astou Ndour-Fall,CON,30,6-5,173,None,Spain,22,1.1,0.8,0.0,-24.4,2.1%,17.8%,15.0%,43.6%,2.7%
Azurá Stevens,LAS,29,6-6,180,Connecticut,USA,20,9.6,7.0,1.9,-12.0,4.0%,25.2%,19.7%,50.6%,13.2%
Betnijah Laney-Hamilton,NYL,31,6-0,166,Rutgers,USA,28,11.8,4.2,3.3,16.1,3.6%,10.0%,18.0%,57.5%,16.6%
