,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Year,Player,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2024,DiJonai Carrington,(V),CON,39,29.6,12.7,5,1.6,1.6,0.4,0.403,0.25,0.79,3.2,0.134,carridi01w
2023,Satou Sabally,(V),DAL,38,33.1,18.6,8.1,4.4,1.8,0.4,0.435,0.361,0.874,5.9,0.224,sabalsa01w
2022,Jackie Young,(V),LVA,34,33.2,15.9,4.4,3.9,1.4,0.2,0.476,0.431,0.859,5.4,0.228,youngja01w
2021,Brionna Jones,(V),CON,32,30.6,14.7,7.3,1.8,1.4,0.5,0.571,0,0.796,6.1,0.3,jonesbr01w
2020,Betnijah Laney-Hamilton,(V),ATL,22,33.5,17.2,4.9,4,1.6,0.1,0.481,0.405,0.827,1.8,0.118,laneybe01w
2019,Leilani Mitchell,(V),PHO,32,30.3,12.8,3,4,0.9,0.3,0.441,0.43,0.829,3.5,0.171,mitchle01w
2018,Natasha Howard,(V),SEA,34,25.6,13.2,6.4,1,1.3,2,0.547,0.327,0.798,4.6,0.252,howarna01w
2017,Jonquel Jones,(V),CON,34,28.5,15.4,11.9,1.5,0.9,1.5,0.534,0.446,0.818,7.2,0.356,jonesjo01w
2016,Elizabeth Williams,(V),ATL,34,34.7,11.9,8.1,1.2,0.8,2.3,0.442,0,0.692,3.4,0.137,williel01w
2015,Kelsey Bone,(V),CON,34,28.3,15,6.1,1.9,0.8,0.6,0.508,0,0.622,2.7,0.133,boneke01w
2014,Skylar Diggins-Smith,(V),TUL,34,35.1,20.1,2.5,5,1.5,0.6,0.424,0.284,0.842,4.2,0.168,diggisk01w
2013,Shavonte Zellous,(V),IND,29,31.3,14.7,3.4,1.7,0.9,0.7,0.415,0.348,0.78,3.2,0.168,zellosh01w
2012,Kristi Toliver,(V),LAS,34,31.5,17.5,3.2,4.9,1.3,0.1,0.491,0.424,0.901,5.6,0.25,tolivkr01w
2011,Kia Vaughn,(V),NYL,34,28.1,10.1,6.7,1.1,1.2,0.7,0.497,,0.786,3.3,0.165,vaughki01w
2010,Leilani Mitchell,(V),NYL,34,28.8,9.3,2.6,3.8,1.6,0.2,0.441,0.486,0.814,4.2,0.205,mitchle01w
2009,Crystal Langhorne,(V),WAS,34,29.8,12,7.9,0.9,1,0.4,0.574,0,0.689,4.2,0.199,langhcr01w
2008,Ebony Hoffman,(V),IND,33,30.7,10.4,7.8,1.8,1.4,0.8,0.465,0.456,0.829,3.6,0.173,hoffmeb01w
2007,Janel McCarville,(V),NYL,32,21.2,10.4,4.8,1.1,1.2,0.6,0.546,0,0.833,2.5,0.177,mccarja01w
2006,Erin Perperoglou,(V),SAC,34,19.6,9.7,3.9,1,1,0.4,0.537,0,0.75,4.2,0.3,perpeer01w
2005,Nicole Powell,(V),SAC,34,29.1,10.7,3.6,1.8,1.1,0.5,0.379,0.415,0.806,5.2,0.25,powelni01w
2004,Kelly Miller (T),(V),IND,34,32.2,10.2,3.2,3.1,1.1,0.1,0.387,0.411,0.877,2.1,0.092,milleke01w
2004,Wendy Palmer (T),(V),CON,33,23.8,9,5.5,0.9,0.7,0.2,0.427,0.317,0.8,2.7,0.164,palmewe01w
2003,Michelle Snow,(V),HOU,34,30.1,9.2,7.7,1.2,1,1.8,0.498,0,0.729,4.3,0.203,snowmi01w
2002,Coco Miller,(V),WAS,32,28.3,9.3,3.6,2.6,1,0.1,0.433,0.375,0.821,2.7,0.142,milleco01w
2001,Janeth Arcain,(V),HOU,32,36.1,18.5,4.3,2.9,1.9,0.1,0.426,0.333,0.9,6.2,0.259,arcaija01w
2000,Tari Phillips,(V),NYL,31,31.5,13.8,8,0.9,1.9,0.7,0.467,0.25,0.654,3.8,0.186,phillta01w
