,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Year,Player,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2024,A'ja Wilson,(V),LVA,38,34.4,26.9,11.9,2.3,1.8,2.6,0.518,0.317,0.844,10.9,0.399,wilsoa01w
2023,Breanna Stewart,(V),NYL,40,34.1,23,9.3,3.8,1.5,1.6,0.465,0.355,0.851,10.3,0.362,stewabr01w
2022,A'ja Wilson,(V),LVA,36,30,19.5,9.4,2.1,1.4,1.9,0.501,0.373,0.813,6.5,0.289,wilsoa01w
2021,Jonquel Jones,(V),CON,27,31.7,19.4,11.2,2.8,1.3,1.3,0.515,0.362,0.802,6.6,0.369,jonesjo01w
2020,A'ja Wilson,(V),LVA,22,31.7,20.5,8.5,2,1.2,2,0.48,,0.781,4,0.276,wilsoa01w
2019,Elena Delle Donne,(V),WAS,31,29.1,19.5,8.2,2.2,0.6,1.3,0.515,0.43,0.974,7.7,0.411,delleel01w
2018,Breanna Stewart,(V),SEA,34,31.6,21.8,8.4,2.5,1.4,1.4,0.529,0.415,0.82,7.7,0.346,stewabr01w
2017,Sylvia Fowles,(V),MIN,34,30.8,18.9,10.4,1.5,1.3,2,0.655,,0.768,9.2,0.42,fowlesy01w
2016,Nneka Ogwumike,(V),LAS,33,31.6,19.7,9.1,3.1,1.3,1.2,0.665,0.615,0.869,9.6,0.444,ogwumnn01w
2015,Elena Delle Donne,(V),CHI,31,33.3,23.4,8.4,1.4,1.1,2,0.46,0.313,0.95,8.9,0.415,delleel01w
2014,Maya Moore,(V),MIN,34,34.7,23.9,8.1,3.4,1.9,0.8,0.481,0.335,0.884,8.3,0.339,moorema01w
2013,Candace Parker,(V),LAS,31,28.7,17.9,8.7,3.8,1.3,1.8,0.493,0.257,0.762,6.5,0.353,parkeca01w
2012,Tina Charles,(V),CON,33,33.2,18,10.5,1.7,0.5,1.4,0.499,0.2,0.802,5.5,0.24,charlti01w
2011,Tamika Catchings,(V),IND,33,31.5,15.5,7.1,3.5,2,0.9,0.438,0.348,0.883,6.5,0.298,catchta01w
2010,Lauren Jackson,(V),SEA,32,31,20.5,8.3,1.2,0.9,1.2,0.462,0.346,0.91,8.3,0.4,jacksla01w
2009,Diana Taurasi,(V),PHO,31,31.5,20.4,5.7,3.5,1.2,1.4,0.461,0.407,0.894,5.4,0.267,tauradi01w
2008,Candace Parker,(V),LAS,33,33.6,18.5,9.5,3.4,1.3,2.3,0.523,0.423,0.733,7.7,0.333,parkeca01w
2007,Lauren Jackson,(V),SEA,31,32.9,23.8,9.7,1.3,1,2,0.519,0.402,0.883,9.5,0.448,jacksla01w
2006,Lisa Leslie,(V),LAS,34,30.8,20,9.5,3.2,1.5,1.7,0.511,0.4,0.65,6.4,0.291,leslili01w
2005,Sheryl Swoopes,(V),HOU,33,37.1,18.6,3.6,4.3,2,0.8,0.447,0.36,0.85,7.1,0.279,swoopsh01w
2004,Lisa Leslie,(V),LAS,34,33.8,17.6,9.9,2.6,1.5,2.9,0.494,0.273,0.712,6.8,0.283,leslili01w
2003,Lauren Jackson,(V),SEA,33,33.6,21.2,9.3,1.9,1.2,1.9,0.483,0.317,0.825,9.2,0.4,jacksla01w
2002,Sheryl Swoopes,(V),HOU,32,36.1,18.5,4.9,3.3,2.8,0.7,0.434,0.288,0.825,7.1,0.296,swoopsh01w
2001,Lisa Leslie,(V),LAS,31,33.3,19.5,9.6,2.4,1.1,2.3,0.473,0.367,0.736,7,0.327,leslili01w
2000,Sheryl Swoopes,(V),HOU,31,35.2,20.7,6.3,3.8,2.8,1.1,0.506,0.374,0.821,9.8,0.433,swoopsh01w
1999,Yolanda Griffith,(V),SAC,29,33.8,18.8,11.3,1.6,2.5,1.9,0.541,0,0.617,8.1,0.397,griffyo01w
1998,Cynthia Cooper,(V),HOU,30,35,22.7,3.7,4.4,1.6,0.4,0.446,0.4,0.854,10,0.458,coopecy01w
1997,Cynthia Cooper,(V),HOU,28,35.1,22.2,4,4.7,2.1,0.2,0.47,0.414,0.864,9.4,0.462,coopecy01w
