,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Year,Player,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2024,Caitlin Clark,(V),IND,40,35.4,19.2,5.7,8.4,1.3,0.7,0.417,0.344,0.906,3,0.103,clarkca02w
2023,Aliyah Boston,(V),IND,40,31.2,14.5,8.4,2.2,1.3,1.3,0.578,0.4,0.745,6,0.23,bostoal01w
2022,Rhyne Howard,(V),ATL,34,31.4,16.2,4.5,2.8,1.6,0.8,0.361,0.343,0.792,2.9,0.132,howarrh01w
2021,Michaela Onyenwere,(V),NYL,32,22.2,8.6,2.9,0.6,0.4,0.3,0.401,0.327,0.836,0.6,0.043,onyenmi01w
2020,Crystal Dangerfield,(V),MIN,21,30,16.2,2,3.6,0.9,0,0.471,0.333,0.922,1.9,0.145,dangecr01w
2019,Napheesa Collier,(V),MIN,34,33.3,13.1,6.6,2.6,1.9,0.9,0.49,0.361,0.792,5.2,0.222,collina01w
2018,A'ja Wilson,(V),LVA,33,30.6,20.7,8,2.2,0.8,1.7,0.462,,0.774,4.4,0.211,wilsoa01w
2017,Allisha Gray,(V),DAL,34,27.2,13,3.9,1.3,1.5,0.6,0.381,0.299,0.803,2,0.103,grayal01w
2016,Breanna Stewart,(V),SEA,34,34.7,18.3,9.3,3.4,1.2,1.9,0.457,0.338,0.833,5.7,0.232,stewabr01w
2015,Jewell Loyd,(V),SEA,34,25.9,10.7,3.5,1.9,0.6,0.2,0.411,0.208,0.904,1.1,0.061,loydje01w
2014,Chiney Ogwumike,(V),CON,31,29.7,15.5,8.5,0.6,1.2,1.2,0.537,,0.693,4.9,0.255,ogwumch01w
2013,Elena Delle Donne,(V),CHI,30,31.4,18.1,5.6,1.8,0.7,1.8,0.426,0.438,0.929,6.5,0.334,delleel01w
2012,Nneka Ogwumike,(V),LAS,33,27.9,14,7.5,1.2,1.4,0.9,0.535,0.143,0.734,5.9,0.31,ogwumnn01w
2011,Maya Moore,(V),MIN,34,28,13.2,4.6,2.6,1.4,0.5,0.439,0.369,0.788,5.3,0.268,moorema01w
2010,Tina Charles,(V),CON,34,31,15.5,11.7,1.5,0.7,1.7,0.487,0,0.763,5.2,0.236,charlti01w
2009,Angel McCoughtry,(V),ATL,34,21.6,12.8,3.1,2.1,2.2,0.4,0.476,0.294,0.741,3.7,0.242,mccouan01w
2008,Candace Parker,(V),LAS,33,33.6,18.5,9.5,3.4,1.3,2.3,0.523,0.423,0.733,7.7,0.333,parkeca01w
2007,Armintie Herrington,(V),CHI,34,26.3,7.9,6,2.9,1.2,0.2,0.409,0.333,0.517,1.9,0.104,pricear01w
2006,Seimone Augustus,(V),MIN,34,33.1,21.9,3.8,1.5,0.6,0.5,0.456,0.353,0.897,3.9,0.166,augusse01w
2005,Temeka Johnson,(V),WAS,34,28.6,9.3,3.1,5.2,1.3,0,0.458,0.302,0.788,2.5,0.124,johnste01w
2004,Diana Taurasi,(V),PHO,34,33.2,17,4.4,3.9,1.3,0.7,0.416,0.33,0.76,4.7,0.2,tauradi01w
2003,Cheryl Ford,(V),DET,32,29.9,10.8,10.4,0.8,1,1,0.474,,0.682,4,0.199,fordch01w
2002,Tamika Catchings,(V),IND,32,36.5,18.6,8.6,3.7,2.9,1.3,0.42,0.396,0.815,9.2,0.378,catchta01w
2001,Jackie Stiles,(V),POR,32,32,14.9,2.4,1.7,0.8,0.1,0.405,0.431,0.779,2.8,0.133,stileja01w
2000,Betty Lennox,(V),MIN,32,30.8,16.9,5.6,2.6,1.7,0.3,0.427,0.396,0.8,3.7,0.182,lennobe01w
1999,Chamique Holdsclaw,(V),WAS,31,34.2,16.9,7.9,2.4,1.2,0.9,0.437,0.172,0.773,3.1,0.141,holdsch01w
1998,Tracy Reid,(V),CHA,30,32.2,13.8,5.2,1.5,1.3,0.4,0.487,0,0.613,3.6,0.179,reidtr01w
